,tweet
527,The Carmelite Nuns in Kew literally make the best passionfruit sponge in the entire world Numbers were down today for the Kew Festival's Interfaith Ecumenical Service so Mother Prioress very kindly gave me a sponge to take home Thank you  😇 pictwittercom/1NgqVOC0Ib
528,Congratulations to Probus Women's Housing on their 50th Anniversary celebration Probus has been providing permanent housing for women over the age 60 in Glen Iris and I was pleased to join KatieAllenMP for this important celebration pictwittercom/aTTxZfLjaN
529,The great tradition of a sausage sizzle at bunnings Hawthorn  continued on the weekend - supporting the JJ McMahon Kindergarten in Kew Congrats to all the parents who donated their time to help out and raise $$$ for this terrific local kindergarten pictwittercom/tacDOcEtw3
530,Well said mate Westacott is a good bloke this debacle isn’t his fault
531,What a complete debacle the crowd is currently queuing up outside Abysmal leadership from Daniel Andrews - yes maybe no  sorry Omnishambles https://twittercom/tminear/status/1238225053226958849 …
532,Thoughts and prayers with the victims of these horrible stabbing in Kew and Hawthorn Thanks to the police and all first responders particularly the brave PSO who is recovering in hospital https://twittercom/LanaMurphy/status/1237887890878648320 …
533,Just horrendous to see this disgusting violence in our local community in Kew and neighbouring suburbs My thoughts are with the family of the victim who simply was out for a walk and never came home His bravery by calling 000 after being attacked should be recognised https://twittercom/patty_mitchell/status/1237815896409657345 …
534,For all the talk the Andrews Labor govt = corrupt https://twittercom/bridgerollo/status/1237603059896700936 …
535,Wake up Australia 🇦🇺 We have overcome droughts floods bushfires the Great Depression and won 2 World Wars; but for a country that was built on optimistic self reliance to become this👇 is completely bizarre Please just keep calm and stop this panic buying of 🧻 https://twittercom/newscomauHQ/status/1237239256474583040 …
536,Your batting was awesome Set up the entire team for a great win Congratulations 🥳 🇦🇺 https://twittercom/ahealy77/status/1237153005260046336 …
537,Let’s hope the Commons sinks this terrible decision https://twittercom/christopherhope/status/1237122095483625472 …
538,Great policy 👍 https://twittercom/buckingham_j/status/1236040094680666113 …
539,Congratulations to KewJunction for their IWD2020 breakfast with guest speaker  Australian aerial skiing ⛷ legend 5x Olympian  3x World Champion JacquiCooperSKI who gave an inspiring presentation on resilience to Kew small business owners pictwittercom/M6hxEA2jJL
540,And the Legislative Council has adjourned at almost 3am after 12 hours of debate on the Local Government Bill pictwittercom/QAXnSlTLid
541,Hearing Labor has decided to call it a night - should have happened 3 hours ago
542,Which is why Libs and Nats voted against sitting past 12am
543,Wrong again Our amendments were drafted literally weeks ago and I was briefing members of the x-bench weeks ago on them Why on earth are you having a crack at me for Labor circulating their amendments late? You’re tired it’s late sleep on it and let’s talk later today
544,Because of us there are many more councils that will not be compelled to have single member wards What part of a government Bill do you not understand? Equally there is an immovable group on the x-bench that vote with Labor We got the best result we could given the numbers
545,Good to see 9NewsMelb holding this rotten sleazy Andrews Labor govt to account on matters of alleged serious corruption What deal did John Woodman’s lawyer Megan Schutz strike with Tim Pallas?  Pallas is in deep strife He must fully disclose his dealings with Woodman now https://twittercom/9NewsMelb/status/1234743680445112320 …
546,The Andrews Labor Govt still hasn’t refused rotten land rezoning c219 that John Woodman’s lawyer Megan Schutz lobbied Labor Ministers aboutAndrews and his Ministers must stop lying about their relationships with Woodman  his associates https://wwwtheagecomau/politics/victoria/casey-developer-s-lawyer-met-with-premier-treasurer-and-senior-ministers-20200302-p54647html …
547,The Andrews Labor Govt still hasn’t refused rotten land rezoning c219 that John Woodman’s lawyer Megan Schutz lobbied Daniel AndrewsTim Pallas and Luke Donnellan several times over Andrews and Ministers must stop lying about their relationships with Woodman  his associates https://twittercom/9NewsMelb/status/1234376394756567041 …
548,This stinks 😷 https://twittercom/7NewsMelbourne/status/1234377893330874369 …
549,Labor’s Planning Minister rwynnemp must reject corrupted and tainted land rezoning c219 - that John Woodman allegedly paid millions 💵 in bribes  donations to Labor for its approval It’s still being assessed by the Andrews Labor Government - why won’t they refuse it ? https://twittercom/9NewsMelb/status/1234014759747555328 …
550,I remember going to stateoforigin with my South Australian father and Victorian grandfather it was civil war in our familyThe Big White V is something worth fighting for Credit to the ⁦AFL⁩ for tonight’s game but it should be against SA ⁦marshall_steven⁩ pictwittercom/taXyj1wxuv
551,Shocking tweet from you If you can’t take it don’t give it Boo hoo 😢
552,What to announce a retirement on twitter like he has often done ?
553,BREAKING NEWS: Brendan Donohoe  to stand down as 7NewsMelbourne springst correspondent - what will Labor give him as a retirement gig ? https://twittercom/BrendanDonohoe7/status/1232880622487523329 …
554,Beyond all the day to day rancour and rubbish that constitutes 🇦🇺politics it’s good to sometimes be reminded that as Australians there is always more that unites us than divides us
555,Labor’s four-bin plan will add tremendous complexity and cost to waste collection that will be passed on to Victorian families Rates will go up https://wwwheraldsuncomau/news/victoria/victorian-councils-warn-of-rate-hike-for-new-fourbin-system/news-story/c0bf6828ce14e66933af2b8ebe5f65c9 …
556,The Andrews Labor government must ensure that Sam Aziz returns from Egypt to face the music at IBAC This is outrageous -  he’s not unwell he’s working at a business school in Cairo https://twittercom/suzandelibasic/status/1232050973901590528 …
557,About to have a chat with DeeDeeDunleavy on 3AW693 
558,Thanks Ann that’s a lovely compliment
559,Looking forward to chatting with SharriMarkson on SkyNewsAust very soon 
560,Looking forward to talking very soon on 🎙 3AW693  Sunday Morning’s with heidimur NickMcCallum7 and Darren James
561,That’s a disgraceful decision
562,But I’m sure TimWilsonMP is delighted to hear that 
563,Kew actually - that’s TimWilsonMP
564,Mate the facts are simple a psycho murdered his kids and estranged wife - I am sure you understand this sort of barbarity just not in 🇦🇺 I’m no lefty I’m no bleeding heart These are facts this happened and it can’t be excused by anyone for any reason
565,What more evidence do you need ? There are eyewitness accounts of this man dousing his wife and kids in petrol and burning them alive ? What’s wrong with you ?
566,You’ve clearly been deployed on behalf of us all to kick the crap out 🇦🇺 enemies Thank you  now tell me do you really think someone should be given an AM for talking shit most of her professional life and then attempting to justify the murder by a father of his wife and kids?
567,C’mon mate are you seriously with that badge on twitter account trying to justify some sadist who burned his own children alive ?
568,Today I wrote to the Chair of the Council for the Order of Australia to formally ask the Council to advise the Governor-General that Bettina Arndt’s AM be cancelled because of her comments that sought to excuse extreme violence Her comments will “bring disrepute on the Order” pictwittercom/fizGF1fP7o
569,Good
570,Oh it’s you ? I’d forgotten about you you’re still a tool and you’re still irrelevant BlockBettina
571,No it’s not The PM loves his family and has paid a high political price for prioritising his girls over his job this summer This isn’t a left/right - Labor/Liberal issue - this is a right/wrong issue and Bettina Arndt is completely wrong
572,Stay tuned
573,You seem to be directing a lot of anger towards me I would have thought we are all in furious agreement tonight on this issue ?
574,I’ve no doubt when the next issue arises normality will return In the meantime I think we can all agree this transcends left/right Labor/Liberal This is right v wrong And Bettina Arndt got this so terribly wrong
575,Read my previous tweet
576,Sorry that’s wrong On advice of the Council of the Order of Australia the Crown awards recipients with their award Unlike other Commonwealth countries the federal govt does not advise the Governor-General on who should be awarded an Order of Australia
577,Thanks John
578,Because the Order of Australia should be above politics
579,Upon further reflection I think these comments are so grotesque that this woman must not be awarded an AM which was announced on Australia Day I hate saying that but she must not be recognised in any way as an outstanding Australian https://twittercom/thebettinaarndt/status/1230623373232787456 …
580,This is completely crackers Your logic is perverse A young family has been murdered by their father and ex-partner a crime that is completely indefensible Please shut up you are sounding like someone who has completely lost the plot https://twittercom/thebettinaarndt/status/1230623373232787456 …
581,How charming
582,People have died please show some respect and restraint You have utterly no idea how to behave during a tragedy like this but please leave the politics until a more appropriate time I expect LordMayorMelb will provide you with some much needed guidance
583,This is an awful tragedy There are no possible words that could console the families of the victims https://twittercom/HughNailon/status/1230457897181577216 …
584,Part Time Minister https://twittercom/rwillingham/status/1230241297677438976 …
585,So what will the SL say in defence of  allegedly anti-Islamic Jasvinder Sidhu at the doors of parliament tomorrow morning? How will JillHennessyMP DanielAndrewsMP JacintaAllanMP respond to Labor’s admin committee throwing the book at Mr Sidhu ? pictwittercom/NgGdefsjhH
586,What will Daniel Andrews say in defence of his mate Jasvinder Sidhu tomorrow ? Sidhu has allegedly  made anti-Islamic comments and 'attacked and racially vilified' Labor Party members He’s very close to key socialist left figures  https://wwwtheagecomau/politics/victoria/alp-acts-against-powerbroker-accused-of-attacking-racially-vilifying-members-20200218-p5422chtml … via theage
587,Melissa Horne is one of the worst ministers I have ever seen Daniel Andrews should sack her https://twittercom/9NewsMelb/status/1229272632044007425 …
588,Only 24 hours until we never have to hear from these Casey Council Clowns 🤡 ever again Quite why it has taken the Andrews Labor govt so long to sack them is beyond me with any luck there will be no Casey Council meeting tomorrow night https://twittercom/bridgerollo/status/1229318629922988034 …
589,Our community is so generous - absolutely awesome day playing in the KewCricketClub 6 aside tournament to raise funds for the recovery after 🇦🇺 horrendous bushfires A great day of cricket - congratulations to all the KewCricketClub volunteers who made it such a good laugh pictwittercom/GWMiSuDeZd
590,Congratulations to the students at tgskew and Ruyton who raised thousands of dollars 💵 💵 to help with the rebuild after Australia’s terrible bushfires I’m so proud to see the next generation of leaders of our community show such empathy for their fellow Australians 🇦🇺 pictwittercom/Sj5QB9WoM9
591,Awesome to catch up with former leader of the Liberal Party Foreign Minister MP for Kooyong for 28 years and Ambassador to the 🇺🇸 but most importantly Dad to peacockann Andrew Peacock AC Thank you Mr Peacock for your service to our Nation 🇦🇺 and our Party pictwittercom/tyhky5PGCV
592,Great move I hope that’s the case here particularly for VJ Day
593,I’m genuinely delighted that Aziz has resigned from the Liberal Party now he should leave the council He will be compelled to return to Australia although I will need to check with 🇦🇺 authorities about Australia’s extradition arrangements with Egypt https://wwwheraldsuncomau/news/victoria/embattled-casey-councillor-sam-aziz-quits-liberal-party/news-story/d54916c724b5bb96ff7ba911cfc4666e …
594,I’m genuinely delighted this bloke Aziz has resigned from the Liberal Party Whilst he’s at it he should resign from Casey Council  https://wwwheraldsuncomau/news/victoria/embattled-casey-councillor-sam-aziz-quits-liberal-party/news-story/d54916c724b5bb96ff7ba911cfc4666e …
595,I've never been attacked from Cairo before but I’m genuinely delighted that Aziz has resigned from the Liberal PartyThis bloke is having a swing at me from Cairo let’s hope he has the ticker to return to Melbourne to answer serious questions from the anti-corruption commission
596,Congratulations to Jackson_Carlaw who was elected Leader of the Scottish Conservatives ScotTories  overnight pictwittercom/6h3fhsImJb
597,Long lunch Paul or are you just a despicable foul mouthed grub ?
598,Welcome home Andrew Peacock AC Happy Birthday to a great Liberal and a great Australian https://twittercom/peacockann/status/1227901415856541696 …
599,Congratulations to tgskew for the Commissioning of their 12th Headmaster Adrian Farrer by ABFreier at StPaulsCathMelb this evening Thanks to outgoing Headmaster Phil De Young on his service to the school over the last few years pictwittercom/poog14ODBi
600,Congrats to the deenertv Deepdene Uniting Cricket Club who hosted a 6 a side cricket tournament to raise 💵for bushfire relief With bendigobankofficial they raised thousands of $$$ Well done to Michael Leeds and his team of volunteers who made the event such a success pictwittercom/JuPEoNmRDw
601,Labor’s Planning Minister rwynnemp must explain why he broke his own government’s rules to give a former Labor Minister’s husband John Merritt a $225000 job as a ‘special adviser’ for 🔥 cladding when he’s not a combustible cladding expert https://www3awcomau/neil-mitchell-exposes-3-6m-of-vic-government-contract-breaches-in-one-department/ …
602,Labor’s Planning Minister Dick Wynne rolled over  did exactly what Daniel Andrews told him to do  despite a panel of experts raising serious concerns with the environmental effects from the draft plans This process was a farce from the beginning https://twittercom/theage/status/1226951577027710976 …
603,Victorians have been calling for a container deposit scheme for years and if elected we will deliver thisCongratulations to the Kew Scouts for helping clean up Glass Creek whilst we launched our Cash for Containers plan  pictwittercom/T65Wd90PlT
604,A Victorian Liberal Nationals Govt will introduce a container deposit schemeBy delivering Cash for Containers we will reduce litter improve recycling and support sporting  community groupsThis is part of the Coalition’s commitment of zero waste to landfill by 2035 pictwittercom/cXo9bf5Cc6
605,Would anyone be surprised by this - captain snooze 😴 Labor’s Planning Minister Dick Wynne is responsible for this debacle https://twittercom/tminear/status/1226276257865748480 …
606,Why is the Andrews Labor govt  its building regulator - VicBuilding - refusing to tell home buyers if the apartment they want to purchase has dangerous cladding? https://twittercom/9NewsMelb/status/1226040414953709569 …
607,Congratulations to sthils Kew on opening a new op-shop in Balwyn to fund their annual food drive Great to see so many shoppers and volunteers at the launch this morning pictwittercom/z8qslEVdhV
608,And it’s a bloody good idea from Bully
609,Eventually it was but that’s not how Labor dropped it to the theheraldsun https://twittercom/SimoLove/status/1224817827380465665 …
610,So what the Minister told the House was incorrect ?
611,It’s beyond a joke that Casey Council has granted Cr Aziz leave He should be back in Melbourne not Egypt to face the music at the anti-corruption commission hearings The Andrews Labor govt must now sack this Council https://wwwtheagecomau/national/victoria/local-councillor-at-centre-of-major-corruption-probe-on-paid-leave-in-cairo-20200204-p53xsuhtml …
612,Great op-ed by friends and colleagues SouthwickMP  newbury3186 A Liberal-Nationals  govt would ban the flag and symbol of Nazi Germany the Swastika Andrews must act and ban the Nazi Swastikanow as anti-Semitic attacks are on the rise https://wwwtheagecomau/national/victoria/protecting-victorians-from-the-ultimate-symbol-of-hate-20200131-p53wl6html …
613,It's a year since the Neo200 building caught 🔥It’s ridiculous and dangerous that the combustible cladding that caused the🔥hasn’t been removed It shows how useless Labor’s Planning Minister Dick Wynne has been20 residents are still unable to return home 1 year after the fire https://twittercom/tminear/status/1223743617623187458 …
614,This is why I always support the Jewish state 🇮🇱 Israel because God’s chosen people were slaughtered in the Holocaust because they didn’t have their own state and defence force now they do and the Jewish people are safe and free and that’s a blessing for they worldOstrov_A https://twittercom/7NewsMelbourne/status/1223172000463511552 …
615,Why doesn’t Labor just sack them ? https://twittercom/rwillingham/status/1223091775746662403 …
616,Bruce = Mulgrave rwillingham tminear 3AWNeilMitchell Jamestalia75 https://twittercom/AdemSomyurek/status/1222445632419270656 …
617,Did you drive or did he ? https://twittercom/Steve_Dimo/status/1222358566062841857 …
618,You think there is a coincidence that these developers are getting such lenient treatment by Labor because they employed your mate now Labor MP Will Fowles as their lobbyist? This stinks and you know it
619,You low life grub You might be able to order Labor MPs to stop talking but you can’t to me
620,Dick Wynne has now been dragged back to VCAT where he says he’s going to get another wet lettuce to slap those 🤠 developers over the wrists againWhat a jokeThe Corkman crooks are laughing at Dick and frankly they’re making him look like one https://twittercom/7NewsMelbourne/status/1222419409995583488 …
621,Dan Andrews is letting the Corkman cowboys snub their noses at the law And we all pay Is there a coincidence that these developers are getting such lenient treatment by Labor because they employed now Labor MP Will Fowles as their lobbyist? This stinks https://wwwgooglecomau/amp/s/amptheagecomau/politics/victoria/you-re-not-above-the-law-state-takes-corkman-pub-rogue-developers-back-to-court-20200129-p53vtghtml …
622,Dick Wynne has now been dragged back to VCAT where he says he’s going to get another wet lettuce to slap those 🤠 developers over the wrists againWhat a jokeThe Corkman crooks are laughing at Dick and frankly they’re making him look like one  https://wwwgooglecomau/amp/s/amptheagecomau/politics/victoria/you-re-not-above-the-law-state-takes-corkman-pub-rogue-developers-back-to-court-20200129-p53vtghtml …
623,The Andrews Labor Government must finally intervene and compulsorily acquire the site of the Corkman Hotel and put it to good use which is student housing social housing or a park so these crooked developers never profit from their illegal behaviour  https://wwwgooglecomau/amp/s/ampsmhcomau/politics/victoria/seize-corkman-land-opposition-says-after-another-broken-promise-20200128-p53vfthtml …
624,As you can see there is no park at the site of the historic Corkman hotel this morning Dick promised a new park by February Hey rwynnemp when will the park be built ? pictwittercom/YCCLxkFW7d
625,Dick Wynne has been left looking like an idiot by the cowboys who knocked down the CorkmanWynne said he would make them rebuild it - he hasn’t He said they’d had the highest fines ever - they were halved on appeal Then he cut a deal with them promising a park by Feb pictwittercom/eMlxTJtZuO
626,‘An absolute joke’: Opposition slams state government for failure to seize Corkman Pub land3AW - https://www3awcomau/an-absolute-joke-opposition-slams-state-government-for-failure-to-seize-corkman-pub-land/ …
627,The Victorian Building Authority is a joke of a regulator and under Labor’s hopeless Planning MinisterRichard Wynneit has failed to protect innocent Victorian homeowners Caroline Seecamp has been through hell for years  this government won’t help her https://wwwgooglecomau/amp/s/ampheraldsuncomau/news/national/highton-family-fighting-for-compensation-after-serious-problems-emerge-from-home-build/news-story/c10e4a09088c256aef71fa23aed49283 …
628,Magnificent Boroondara citizenship ceremony that welcomed 132 new Australians from 35 countriesWhat unites us as a peoplefrom every corner of the globeis infinitely greater than what divides us so it’s great to see so many embracing Australia Day to express their pride in 🇦🇺 pictwittercom/h5S3jKrQ1d
629,Congratulations to my great friend  The Hon Charles Roderick Rod Kemp AM on being awarded a Member of the Order of Australia in today’s Australia Day honours list pictwittercom/FmI2hstKnu
630,Great to meet with some of Kew’s Chinese Australians with Boroondara Mayor CrCWatson to celebrate the year of the rat🐀 Wishing everyone celebrating the Lunar New Year 🎇🎊 a fantastic long weekend pictwittercom/bDtEoyCuF5
631,Oh for goodness sake this is so immature can’t you people over there just grow up? I lived there once and most of you are all so rude go back to the OBH and scull a rum jennamclarke https://twittercom/AnthDeCeglie/status/1219950656288522240 …
632,And where the hell are the Kiwis ? Why has jacindaardern boycotted this conference ? Just disgraceful https://twittercom/Ostrov_A/status/1220262878541950976 …
633,The bushfires are severely impacting businesses around country Victoria which is why the Liberal Nationals have called for a two year waiver of council rates Milawa relies on tourism but the fires have kept visitors away Great to meet with Gamze Smokehouse with Tim_McCurdy pictwittercom/IlG7dIZvHz
634,Yes that’s true but during this crisis these local councils can’t lose revenue they have vital services to perform so if rates are to be waived for two years the state government will need to make up the shortfall in councils revenue
635,Simply asking the govt to do something in a crisis isn’t unreasonable I’m an MP  a Shadow Minister it’s my job to represent people and bring ideas forward- particularly at this time to hopefully get a better response from the govt for people who’ve lost everything
636,I received a very detailed briefing from a number of government agencies and ministerial staff at Parliament House last week on the bushfire response in my portfolio areas - which I greatly appreciatedI raised the issue of council rates then
637,They’ve been told by me in person 
638,Without action from the Andrews Labor govt property owners whose homes have been burnt down would be forced to pay council ratesThis is just wrong Good on my great mate billtilleymla who defended Corryong as a CFA volunteer and is now fighting for them as their MP pictwittercom/oLm6PWpsmg
639,A good day supporting Corryong that has been so devastated by horrendous bushfires A productive meeting with the Mayor of Towong David Wortmann with billtilleymla Great to hear from our fantastic AustralianArmy personnel who are serving North East Victoria with distinction pictwittercom/uN3adAmyoq
640,Without action from this Labor govt property owners whose homes have been burnt down would still be required to pay council ratesThis is just wrong We need action immediately from Daniel Andrews on this significant financial burden on people who are doing it so tough
641,The Andrews Labor Govt must provide council rates relief now for Victorians who have lost everything from bushfiresRates relief should also extend to local businesses that have been severely impacted by these horrendous fires  https://wwwheraldsuncomau/news/victoria/oppositions-push-for-fireravaged-residents-to-have-council-rates-slashed/news-story/a97bf16cbc90b4ff33dcc4a5bb8e7a7c …
642,Congrats to KewFC KewCricketClub  Kew Comets JFC for organising today’s Kew Fun Run for bushfire relief Thank you to bendigobank for matching all 💴 raised by 120 + participants and a donation of $1000 We raised about $6k - not bad for about a week’s notice  pictwittercom/oLmBXL1tqA
643,What’s the difference between New Years Eve and Australia Day? This Labor government wouldn’t cancel Moomba  This decision is virtue signalling to begin the slow march to abolish Australia Day on January 26th Dan is so clever on this stuff why are you falling for it ?
644,He was the embodiment of our Nation 🇦🇺 a warrior a gentleman and a fine citizen I can’t believe he is  gone and I shall miss him greatly he was the Hawthorn Pipe Band and it a was an honour to have known him Vale Bob Semple - a leader to all of us https://twittercom/7NewsMelbourne/status/1217712504635150336 …
645,All good mate
646,I don’t have a Bentleigh office ?
647,So he has but it doesn’t make it the right call I’m sure UK taxpayers are delighted to see their investment disappear across the AtlanticSwearing an oath of allegiance to HM the Queen is something an Army man takes seriously what on earth is he doing ?
648,Sorry mate the other explanation is just do your bloody job and duty serving your Queen 👑  Country 🇬🇧 and Commonwealth 🇦🇺 https://twittercom/steveheraldsun/status/1217778288896159744 …
649,Great to see GregHuntMP supporting Corryong with CFA volunteer billtilleymla who has been working around the clock both as a firefighter and local MP for his community during these horrendous fires We will support the people of North East Victoria as they rebuild https://twittercom/GregHuntMP/status/1217584901832077312 …
650,Great to see GregHuntMP supporting Corryong with CFA volunteer benambrabill who has been working around the clock both as a firefighter and local MP for his community during these horrendous fires https://twittercom/GregHuntMP/status/1217584901832077312 …
651,I’m so sorry to learn of the death of Tony Beddison AC He was such a generous spirit he will be really missed https://twittercom/3AWNeilMitchell/status/1217183908992712704 …
652,Margaret  her family have lived in fear of their neighbours for months and have done nothing wrong But the Andrews Labor Govt housing dept and police failed to protect Margaret and her family from the menaces who live next door heidimur
653,Absolutely disgraceful behaviour from these public housing tenants Why hasn’t the Andrews Labor Government booted these thugs and bullies out? https://twittercom/ACurrentAffair9/status/1216595896877502465 …
654,One of the best views in Victoria Would be absolutely gutted if that place went under all my love to everyone defending it and thank God the fires haven’t  blown your way
655,Huge support in Kew today for our CFA_Updates and all those Victorians and Australians who have been so tragically affected by these awful bushfires Great to see the Aussie 🇦🇺 spirit in KewJunction - helping those in need pictwittercom/w0p4UBoJxd
656,ShaneWarne you are an Australian 🇦🇺 legend Thank you for this extraordinary gesture of support for those is need because of these shocking bushfires https://twittercom/ShaneWarne/status/1214034590592929792 …
